Pilota  Costruttore   Griglia Tempi
Ricciardo	Red Bull	1	0:0:0.0
Perez	Force India	13	0:0:0.0
Sainz	Renault	8	0:0:0.0
Alonso	McLaren	12	0:0:0.0
Grosjean	Haas	18	1:53:28.866
Magnussen	Haas	16	1:53:28.865
Hartley	Toro Rosso	14	1:52:28.864
Sirotkin	Williams	19	1:52:28.863
Stroll	Williams	17	1:51:28.862
Ocon	Force India	11	1:50:28.861
Gasly	Toro Rosso	20	1:50:28.860
Ericsson	Sauber	10	1:49:28.859
Vandoorne	McLaren	15	1:43:28.858
Leclerc	Sauber	9	1:43:28.857
Hulkenberg	Renault	7	1:42:28.856
Bottas	Mercedes	5	1:42:28.855
Hamilton	Mercedes	3	1:41:28.854
Raikkonen	Ferrari	6	1:40:28.853
Vettel	Ferrari	4	1:39:28.852
Verstappen	Red Bull	2	1:38:28.851
